Date,Meninggal (baru),Sembuh (baru),Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru,Persentase Spesimen Positif (Orang),Persentase Penambahan Kasus,Suspek,Spesiment Baru (Orang),Test (Orang),Test (Spesimen),Tingkat Kematian,Tingkat Kesembuhan,Persentase Aktif
2020-04-26,23,65,8882,743,1107,7032,275,0.0620347394540943,0.03195073777158127,228688,4433,4433,4271,0.08365233055618104,0.12463409142085115,0.7917135780229678
2020-04-27,22,44,9096,765,1151,7180,214,0.08788501026694047,0.024093672596262102,230186,2435,2435,3058,0.08410290237467019,0.1265391380826737,0.7893579595426561
2020-04-28,8,103,9511,773,1254,7484,415,0.13237639553429026,0.04562445030782762,234072,3135,3135,4461,0.0812743139522658,0.1318473346651246,0.7868783513826096
2020-04-29,11,137,9771,784,1391,7596,260,0.049618320610687015,0.027336767952896645,243403,5240,5240,7367,0.0802374373145021,0.14236004503121485,0.7774025176542829
2020-04-30,8,131,10118,792,1522,7804,347,0.0730987992416263,0.0355132535052707,252238,4747,4747,7614,0.07827633919746986,0.15042498517493574,0.7712986756275944
2020-05-01,8,69,10551,800,1591,8160,433,0.10806089343648614,0.04279501877841471,255243,4007,4007,7706,0.07582219694815658,0.15079139418064638,0.7733864088711969
2020-05-02,31,74,10843,831,1665,8347,292,0.08768768768768767,0.02767510188607715,257580,3330,3330,5638,0.07663930646500046,0.15355528912662547,0.7698054044083741
2020-05-03,14,211,11192,845,1876,8471,349,0.11100508905852416,0.0321866642073227,259499,3144,3144,5022,0.07550035739814152,0.16761972837741246,0.756879914224446
2020-05-04,19,78,11587,864,1954,8769,395,0.12955067235159068,0.035293066476054326,262198,3049,3049,3896,0.07456632432898938,0.16863726590144126,0.7567964097695693
2020-05-05,8,243,12071,872,2197,9002,484,0.16905344044708348,0.041770950202813496,265634,2863,2863,4686,0.07223925109767211,0.1820064617678734,0.7457542871344545
2020-05-06,23,120,12438,895,2317,9226,367,0.0905725567620928,0.03040344627619916,267658,4052,4052,6836,0.07195690625502492,0.18628396848367906,0.7417591252612961
2020-05-07,35,64,12776,930,2381,9465,338,0.09035017375033412,0.027174786943238462,271963,3741,3741,5768,0.07279273638071382,0.18636505948653725,0.7408422041327489
2020-05-08,13,113,13112,943,2494,9675,336,0.050571944611679714,0.026299311208515967,273567,6644,6644,9630,0.07191885295912141,0.19020744356314825,0.7378737034777303
2020-05-09,16,113,13645,959,2607,10079,533,0.09985013113525663,0.04064978645515558,276537,5338,5338,7106,0.07028215463539758,0.1910589959692195,0.738658849395383
2020-05-10,14,91,14032,973,2698,10361,387,0.08142225962549969,0.028362037376328326,279007,4753,4753,7386,0.06934150513112884,0.19227480045610035,0.7383836944127709
2020-05-11,18,183,14265,991,2881,10393,233,0.08017894012388163,0.01660490307867731,281099,2906,2906,3078,0.06947073256221521,0.20196284612688395,0.7285664213109008
2020-05-12,16,182,14749,1007,3063,10679,484,0.14362017804154306,0.0339291973361374,284008,3370,3370,3777,0.0682758153095125,0.2076750966167198,0.7240490880737677
2020-05-13,21,224,15438,1028,3287,11123,689,0.17924037460978148,0.04671503152756119,289341,3844,3844,4067,0.06658893639072419,0.21291618085244196,0.7204948827568338
2020-05-14,15,231,16006,1043,3518,11445,568,0.13393067672718698,0.036792330612773684,292311,4241,4241,4495,0.06516306385105586,0.21979257778333125,0.7150443583656129
2020-05-15,33,285,16496,1076,3803,11617,490,0.11537555921827172,0.03061351993002624,297279,4247,4247,4912,0.06522793404461688,0.2305407371483996,0.7042313288069835
2020-05-16,13,108,17025,1089,3911,12025,529,0.1442989634478996,0.03206838021338506,304518,3666,3666,4216,0.0639647577092511,0.2297209985315712,0.7063142437591777
2020-05-17,59,218,17514,1148,4129,12237,489,0.10301242890246473,0.028722466960352425,306676,4747,4747,5147,0.06554756195043965,0.23575425373986525,0.6986981843096951
2020-05-18,43,195,18010,1191,4324,12495,496,0.19359875097580007,0.028320200982071487,56469,2562,2562,2695,0.06612992781787895,0.24008883953359245,0.6937812326485286
2020-05-19,30,143,18496,1221,4467,12808,486,0.10201511335012596,0.026985008328706275,57191,4764,4764,12276,0.06601427335640138,0.24151167820069205,0.6924740484429066
2020-05-20,21,108,19189,1242,4575,13372,693,0.10930599369085174,0.03746756055363322,56408,6340,6340,8947,0.06472458179165147,0.2384178435562041,0.6968575746521445
2020-05-21,36,263,20162,1278,4838,14046,973,0.15605453087409785,0.05070613372244515,61253,6235,6235,8092,0.0633865687927785,0.23995635353635555,0.6966570776708659
2020-05-22,48,219,20796,1326,5057,14413,634,0.07376381617219313,0.03144529312568198,58178,8595,8595,9359,0.06376226197345643,0.2431717638007309,0.6930659742258126
2020-05-23,25,192,21745,1351,5249,15145,949,0.1343051231248231,0.04563377572610117,61453,7066,7066,10406,0.06212922510922051,0.2413888250172453,0.6964819498735342
2020-05-24,21,153,22271,1372,5402,15497,526,0.13387630440315598,0.02418946884341228,53940,3929,3929,8815,0.061604777513358175,0.2425575860985137,0.6958376363881279
2020-05-25,19,240,22750,1391,5642,15717,479,0.14838909541511772,0.021507790400071843,61703,3228,3228,8391,0.06114285714285715,0.248,0.6908571428571428
2020-05-26,27,235,23165,1418,5877,15870,415,0.0812133072407045,0.018241758241758242,77770,5110,5110,7152,0.06121303690913015,0.2537017051586445,0.6850852579322253
2020-05-27,55,180,23851,1473,6057,16321,686,0.09506651884700663,0.02961364126915605,62609,7216,7216,14313,0.06175841683786841,0.2539516162844325,0.684289966877699
2020-05-28,23,183,24538,1496,6240,16802,687,0.11859140341791816,0.02880382373904658,61999,5793,5793,11495,0.060966663949792166,0.254299453908224,0.6847338821419838
2020-05-29,24,252,25216,1520,6492,17204,678,0.17592112091333678,0.02763061374195126,61711,3854,3854,10639,0.06027918781725888,0.2574555837563452,0.6822652284263959
2020-05-30,53,523,25773,1573,7015,17185,557,0.04800068941744226,0.02208914974619289,60546,11604,11604,11361,0.06103286384976527,0.27218406859892136,0.6667830675513133
2020-05-31,40,293,26473,1613,7308,17552,700,0.10211524434719182,0.02716020641756877,62849,6855,6855,11470,0.06093000415517698,0.2760548483360405,0.6630151475087825
2020-06-01,28,329,26940,1641,7637,17662,467,0.05501236894805042,0.01764061496619197,61478,8489,8489,10039,0.06091314031180401,0.28348181143281365,0.6556050482553823
2020-06-02,22,298,27549,1663,7935,17951,609,0.1043880699348646,0.022605790645879732,61236,5834,5834,9049,0.060365167519692176,0.2880322334748993,0.6516025990054085
2020-06-03,35,471,28233,1698,8406,18129,684,0.08060334668866369,0.02482848742241097,61438,8486,8486,11970,0.060142386568908725,0.2977366911061524,0.6421209223249389
2020-06-04,23,486,28818,1721,8892,18205,585,0.11031491608523478,0.020720433535224736,60789,5303,5303,13206,0.05971961968214313,0.30855715178013743,0.6317232285377195
2020-06-05,49,551,29521,1770,9443,18308,703,0.13854946787544345,0.024394475674925392,62912,5074,5074,13333,0.059957318519020364,0.3198739880085363,0.6201686934724433
2020-06-06,31,464,30514,1801,9907,18806,993,0.12522068095838587,0.03363707191490803,59918,7930,7930,13095,0.05902208822179982,0.3246706429835485,0.6163072687946516
2020-06-07,50,591,31186,1851,10498,18837,672,0.1525192918747163,0.022022678114963626,54567,4406,4406,11924,0.0593535560828577,0.3366254088372988,0.6040210350798435
2020-06-08,32,406,32033,1883,10904,19246,847,0.16029523088569267,0.027159622907715,52801,5284,5284,6988,0.058783129897293424,0.3403989635688197,0.6008179065338869
2020-06-09,40,510,33076,1923,11414,19739,1043,0.14439983386404542,0.032560172322292635,52502,7223,7223,16181,0.05813883178135204,0.3450840488571774,0.5967771193614706
2020-06-10,36,715,34316,1959,12129,20228,1240,0.2128755364806867,0.03748941830934817,58187,5825,5825,17757,0.05708707308544119,0.3534502855810701,0.5894626413334888
2020-06-11,41,507,35295,2000,12636,20659,979,0.13610454608647296,0.0285289660799627,57466,7193,7193,16702,0.056665250035415775,0.3580110497237569,0.5853237002408274
2020-06-12,48,577,36406,2048,13213,21145,1111,0.14860888175494916,0.03147754639467347,51461,7476,7476,15333,0.05625446354996429,0.36293468109652255,0.5808108553535132
2020-06-13,43,563,37420,2091,13776,21553,1014,0.0911214953271028,0.027852551777179584,56028,11128,11128,16574,0.055879208979155534,0.3681453768038481,0.5759754142169963
2020-06-14,43,755,38277,2134,14531,21612,857,0.0887347276868917,0.0229021913415286,55213,9658,9658,18760,0.05575149567625467,0.37962745251717744,0.564621051806568
2020-06-15,64,592,39294,2198,15123,21973,1017,0.16253795748761388,0.026569480366799902,50393,6257,6257,8776,0.05593729322542882,0.38486791876622384,0.5591947880083473
2020-06-16,33,580,40400,2231,15703,22466,1106,0.10929933787923707,0.028146790858655263,42634,10119,10119,17052,0.055222772277227716,0.3886881188118812,0.5560891089108911
2020-06-17,45,540,41431,2276,16243,22912,1031,0.11495149960976694,0.02551980198019801,55993,8969,8969,19757,0.05493471072385412,0.392049431585045,0.5530158576911008
2020-06-18,63,555,42762,2339,16798,23625,1331,0.12821500818803586,0.032125702976032434,54621,10381,10381,20650,0.05469809644076516,0.3928254057340629,0.5524764978251718
2020-06-19,34,551,43803,2373,17349,24081,1041,0.13140621055289067,0.02434404377718535,49675,7922,7922,20717,0.0541743716183823,0.3960687624135333,0.5497568659680844
2020-06-20,56,534,45029,2429,17883,24717,1226,0.12337727684411795,0.02798895052850261,50486,9937,9937,19917,0.05394301450176553,0.3971440627151391,0.5489129227830953
2020-06-21,36,521,45891,2465,18404,25022,862,0.1308638226810384,0.01914321881454174,69661,6587,6587,18229,0.053714235906822685,0.40103724041751104,0.5452485236756662
